Numero de point;Latitude;Longitude;Modele;PLUVIOMETRIE moyenne des 17 fichiers;PLUVIO EXCEPTIONNELLE moyenne des 17 fichiers
2925;42,9956;2,0918;GWL20;911,22;57,66882353
2926;42,9958;2,1897;GWL20;872,5570588;56,98
2927;42,9959;2,2876;GWL20;895,2541176;60,08588235
2928;42,9959;2,3855;GWL20;960,0117647;67,23647059
2929;42,9958;2,4834;GWL20;973,4676471;84,57823529
2930;42,9956;2,5813;GWL20;934,2764706;82,67235294
2931;42,9953;2,6792;GWL20;925,5752941;83,30176471
2932;42,995;2,7771;GWL20;723,5570588;91,41647059
2933;42,9945;2,875;GWL20;717,7676471;90,88235294
2934;42,994;2,9729;GWL20;684,7452941;89,96058824
2935;42,9934;3,0708;GWL20;668,4258824;88,83705882
2999;42,7676;9,3183;GWL20;691,8529412;70,69470588
3000;42,7612;9,4155;GWL20;994,9858824;95,99235294
3032;43,0013;-1,4345;GWL20;1957,796471;88,54235294
3033;43,0047;-1,3367;GWL20;1981,345294;89,93588235
3034;43,0081;-1,2389;GWL20;2029,848235;89,78058824
3035;43,0113;-1,1411;GWL20;2019,678824;88,59235294
3036;43,0144;-1,0433;GWL20;2091,211176;92,58705882
3037;43,0175;-0,9454;GWL20;1882,345294;83,20588235
3038;43,0204;-0,8475;GWL20;1896,908235;85,33882353
3039;43,0233;-0,7497;GWL20;2014,804118;91,34470588
3040;43,0261;-0,6518;GWL20;1717,966471;85,06529412
3041;43,0288;-0,5539;GWL20;1837,26;90,99
3042;43,0313;-0,456;GWL20;1834,127647;89,50058824
3043;43,0339;-0,3581;GWL20;1943,561176;98,68058824
3044;43,0363;-0,2602;GWL20;1660,180588;75,43941176
3045;43,0386;-0,1623;GWL20;1198,825294;63,41352941
3046;43,0408;-0,0643;GWL20;1386,177059;63,69823529
3047;43,043;0,0336;GWL20;1443,082941;65,87235294
3048;43,0451;0,1316;GWL20;1422,083529;65,51352941
3049;43,047;0,2295;GWL20;1401,42;62,81411765
3050;43,0489;0,3275;GWL20;1322,972941;58,37352941
3051;43,0507;0,4254;GWL20;1140,755882;56,89352941
3052;43,0524;0,5234;GWL20;1106,977647;54,00058824
3053;43,054;0,6214;GWL20;862,3082353;44,16117647
3054;43,0555;0,7194;GWL20;852,7282353;43,87352941
3055;43,057;0,8174;GWL20;843,0670588;42,57235294
3056;43,0583;0,9153;GWL20;827,7652941;42,42352941
3057;43,0596;1,0133;GWL20;980,5611765;48,83823529
3058;43,0607;1,1113;GWL20;1004,99;52,08470588
3059;43,0618;1,2093;GWL20;1016,245882;53,92058824
3060;43,0628;1,3074;GWL20;1007,362941;53,78705882
3061;43,0637;1,4054;GWL20;996,4023529;52,52411765
3062;43,0645;1,5034;GWL20;803,0470588;47,67705882
3063;43,0652;1,6014;GWL20;790,3041176;47,83588235
3064;43,0659;1,6994;GWL20;778,7435294;47,49
3065;43,0664;1,7974;GWL20;874,7605882;50,73235294
3066;43,0668;1,8955;GWL20;874,6829412;51,15411765
3067;43,0672;1,9935;GWL20;779,3741176;53,00294118
3068;43,0675;2,0915;GWL20;762,2011765;52,74823529
3069;43,0677;2,1895;GWL20;732,2135294;51,15529412
3070;43,0677;2,2876;GWL20;746,0429412;55,51411765
